Column1,Unnamed0,call_type,received_timestamp,disptach_timestamp,dispatch_time,latitude,longitude,TransactionId,ComputedAPN,StreetAddress,ComputedCity,ComputedState,ComputedZip
4129,4129,Structure Fire,0 days 05:47:33.000000000,0 days 05:48:34.000000000,0 days 00:01:01.000000000,37.72492895,-122.4606961,,3283195,18 Dorado Ter,San Francisco,CA,94112
4139,4139,Structure Fire,0 days 15:06:56.000000000,0 days 15:09:13.000000000,0 days 00:02:17.000000000,37.72973949,-122.4195291,,5898026,166 Cambridge St,San Francisco,CA,94134
4143,4143,Structure Fire,0 days 19:17:01.000000000,0 days 19:19:31.000000000,0 days 00:02:30.000000000,37.79359262,-122.3988994,,237006,200 California St,San Francisco,CA,94111
4156,4156,Structure Fire,0 days 15:06:56.000000000,0 days 15:09:13.000000000,0 days 00:02:17.000000000,37.77177025,-122.4203444,,3512008,1656 Mission St,San Francisco,CA,94103
4195,4195,Structure Fire,0 days 19:15:11.000000000,0 days 19:17:11.000000000,0 days 00:02:00.000000000,37.74921003,-122.4162418,,6527013,3300  26th St,San Francisco,CA,94110
4221,4221,Structure Fire,0 days 07:30:37.000000000,0 days 07:30:46.000000000,0 days 00:00:09.000000000,37.77872189,-122.3992277,,3761007,610 Bryant St,San Francisco,CA,94107
4225,4225,Structure Fire,0 days 10:19:30.000000000,0 days 10:19:39.000000000,0 days 00:00:09.000000000,37.78626844,-122.4129972,,317011,530 Jones St,San Francisco,CA,94102
4234,4234,Structure Fire,0 days 20:07:08.000000000,0 days 20:07:15.000000000,0 days 00:00:07.000000000,37.7610428,-122.4333538,,3582019,4020  18th St,San Francisco,CA,94114
4242,4242,Structure Fire,0 days 19:15:11.000000000,0 days 19:17:11.000000000,0 days 00:02:00.000000000,37.75421545,-122.4422093,,2763038,775 Corbett Ave,San Francisco,CA,94131
4254,4254,Structure Fire,0 days 07:33:46.000000000,0 days 07:35:21.000000000,0 days 00:01:35.000000000,37.75260006,-122.4924136,,2070041,1846  34th Ave,San Francisco,CA,94122
